编号,食品分类,最大使用量,备注
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,10 mg/kg,注释185
05.3,口香糖,50 mg/kg,注释185
05.1.3,可可涂抹物，包括馅料,30 mg/kg,注释185,注释XS86
01.6.2.1,熟化干酪，包括干酪壳,25 mg/kg,注释185,注释XS278,注释506,注释463,注释XS208
05.2.3,牛轧糖和杏仁蛋白软糖,30 mg/kg,注释185
05.2.1,硬糖,30 mg/kg,注释185,注释440
05.1.5,类巧克力、代巧克力制品,25 mg/kg,注释185
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,25 mg/kg,注释185,注释446
05.2.2,软糖,30 mg/kg,注释185,注释443,注释440
14.2.6,酒精含量高于15%的蒸馏酒饮料,10 mg/kg,注释185
01.6.1,非熟化干酪,25 mg/kg,注释185,注释XS273,注释485
01.1.4,风味液态乳饮料,10 mg/kg,注释185,注释52
13.6,食品补充剂,100 mg/kg,注释185,注释539
