编号,食品分类,最大使用量,备注
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,5,000 mg/kg
01.7,乳基甜点（如布丁、水果或调味酸乳）,5,000 mg/kg,注释362
01.5.2,乳粉和稀奶油粉类似产品,4,000 mg/kg,注释XS251
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,300 mg/kg
07.1.3,其他普通焙烤制品（如百吉饼、皮塔饼、英式松饼等）,10,000 mg/kg,注释11
10.2.2,冷冻蛋制品,500 mg/kg
05.3,口香糖,5,000 mg/kg
05.1.4,可可和巧克力制品,10,000 mg/kg,注释101
05.1.3,可可涂抹物，包括馅料,10,000 mg/kg,注释XS86
05.1.1,可可混合物（粉）和可可块/可可饼,2,000 mg/kg,注释97,注释XS141,注释123
14.1.5,咖啡，咖啡替代品，茶，香草饮料和其他热的谷物饮料，不包括可可,500 mg/kg,注释429
10.2.3,干制和/或热凝固的蛋制品,500 mg/kg,注释452
04.2.2.2,干制蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,5,000 mg/kg,注释76
06.4.2,干面制品、面条及其类似产品,5,000 mg/kg,注释11,注释211
04.1.2.9,果基甜点，包括水基果味甜点,5,000 mg/kg
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,5,000 mg/kg,注释363
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,5,000 mg/kg,注释XS240,注释XS314R
12.6.3,沙司和卤汁的混合物,50 mg/kg,注释127
14.1.4.3,浓缩（液体或固体）水基调味饮料,500 mg/kg,注释127
10.2.1,液体蛋制品,500 mg/kg
12.5.2,清汤和浓汤的混合物,250 mg/kg,注释127,注释XS117
05.2.3,牛轧糖和杏仁蛋白软糖,10,000 mg/kg
13.3,特殊医疗用途食品（不包括13.1类）,1,000 mg/kg
13.5,特殊膳食食品（如特殊膳食用补充食品），不包括13.1 -13.4和13.6类,5,000 mg/kg
13.4,瘦身和减肥配方食品,1,000 mg/kg
05.2.1,硬糖,10,000 mg/kg
14.1.4.1,碳酸水基调味饮料,500 mg/kg
01.4.4,稀奶油类似产品,5,000 mg/kg,注释349
05.1.5,类巧克力、代巧克力制品,10,000 mg/kg
07.2,精制焙烤制品（甜的、咸的、美味的）及其混合物,10,000 mg/kg
04.1.2.11,糕饼的水果馅料,5,000 mg/kg
02.4,脂基甜点，不包括01.7类乳基甜点制品,10,000 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,10,000 mg/kg,注释359
07.1.2,薄脆饼干，不包括甜的薄脆饼干,10,000 mg/kg,注释11
10.4,蛋基甜点（如蛋奶甜羹）,5,000 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,10,000 mg/kg
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,5,000 mg/kg
05.2.2,软糖,10,000 mg/kg,注释XS309R
12.8,酵母及其类似产品,15,000 mg/kg
14.1.4.2,非碳酸水基调味饮料，包括潘趣酒和果汁饮料,500 mg/kg
07.1.6,面包和普通焙烤制品预拌粉,10,000 mg/kg,注释11
07.1.1,面包和面包卷,3,000 mg/kg
07.1.4,面包类制品，包括面包馅和面包屑,10,000 mg/kg,注释11
06.4.3,预制面制品、面条及其类似产品,5,000 mg/kg,注释194,注释2
01.1.4,风味液态乳饮料,5,000 mg/kg
13.6,食品补充剂,10,000 mg/kg,注释364
03.0,食用冰，包括冰冻果子露和果汁冰糕,1,000 mg/kg
01.3.2,饮料增白剂,4,000 mg/kg,注释XS252,注释XS250
07.1.5,馒头和包子,10,000 mg/kg,注释11
