β-葡聚糖酶,Beta-glucan enzyme,绳状青霉,2017年10月30日由关于爱德万甜等6种食品添加剂新品种、环己基氨基磺酸钠（又名甜蜜素）等6种食品添加剂扩大用量和使用范围的公告（2017年 第8号）增补。
乳糖酶（β-半乳糖苷酶）,Lactase (beta-galactosidase),两歧双歧杆菌,2015年1月29日由国家卫生计生委关于批准β－半乳糖苷酶为食品添加剂新品种等的公告（2015年 第1号）增补,
转葡糖苷酶,Transglucosidase,黑曲霉,
转化酶（蔗糖酶）,Invertase (saccharase),酿酒酵母,
植酸酶,phytase,黑曲霉,
酯酶,Esterase,米黑根毛霉,
酯酶,Esterase,李氏木霉,
酯酶,Esterase,黑曲霉,
脂肪酶,Lipase,米曲霉,米黑根毛霉,
脂肪酶,Lipase,柱晶假丝酵母,
脂肪酶,Lipase,猪或牛的胰腺,
脂肪酶,Lipase,雪白根霉,
脂肪酶,Lipase,羊咽喉,
脂肪酶,Lipase,小牛或小羊的唾液腺或前胃组织,
脂肪酶,Lipase,米曲霉,棉状嗜热丝孢菌,
脂肪酶,Lipase,米曲霉,尖孢镰刀菌,
脂肪酶,Lipase,米曲霉,
脂肪酶,Lipase,米黑根毛霉,
脂肪酶,Lipase,米根霉,
脂肪酶,Lipase,黑曲霉,南极假丝酵母,
脂肪酶,Lipase,黑曲霉,
胰蛋白酶,Typsin,猪或牛的胰腺,
胰凝乳蛋白酶（糜蛋白酶）,Chymotrypsin,猪或牛的胰腺,
右旋糖酐酶,Dextranase,无定毛壳菌（又名：细丽毛壳）,
纤维素酶,Cellulase,绿色木霉,
纤维素酶,Cellulase,李氏木霉,
纤维素酶,Cellulase,黑曲霉,
纤维二糖酶,Cellobiase,黑曲霉,
无花果蛋白酶,Ficin,无花果,
脱氨酶,Deaminase,蜂蜜曲霉,
胃蛋白酶,Pepsin,猪、小牛、小羊、禽类的胃组织,
天门冬酰胺酶,Asparaginase,米曲霉,米曲霉,
天门冬酰胺酶,Asparaginase,黑曲霉,黑曲霉,
乳糖酶（β-半乳糖苷酶）,Lactase (beta-galactosidase),巴斯德毕赤酵母,米曲霉,
乳糖酶（β-半乳糖苷酶）,Lactase (beta-galactosidase),乳克鲁维酵母,乳克鲁维酵母,
乳糖酶（β-半乳糖苷酶）,Lactase (beta-galactosidase),乳克鲁维酵母,
乳糖酶（β-半乳糖苷酶）,Lactase (beta-galactosidase),米曲霉,
乳糖酶（β-半乳糖苷酶）,Lactase (beta-galactosidase),黑曲霉,
乳糖酶（β-半乳糖苷酶）,Lactase (beta-galactosidase),脆壁克鲁维酵母,
溶血磷脂酶（磷脂酶B）,Lysophospholipase (lecithinase B),黑曲霉,黑曲霉,
溶血磷脂酶（磷脂酶B）,Lysophospholipase (lecithinase B),黑曲霉,
漆酶,Laccase,米曲霉,嗜热毁丝霉,
普鲁兰酶,Pullulanase,长野解普鲁兰杆菌,
普鲁兰酶,Pullulanase,地衣芽孢杆菌,Bacillus deramificans,
普鲁兰酶,Pullulanase,枯草芽孢杆菌,Bacillus deramificans,
普鲁兰酶,Pullulanase,嗜酸普鲁兰芽孢杆菌,
普鲁兰酶,Pullulanase,枯草芽孢杆菌,嗜酸普鲁兰芽孢杆菌,
普鲁兰酶,Pullulanase,枯草芽孢杆菌,
普鲁兰酶,Pullulanase,产气克雷伯氏菌,
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),鼠灰链霉菌,
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),紫黑吸水链霉菌,
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),锈棕色链霉菌,
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),凝结芽孢杆菌,
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),密苏里游动放线菌,
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),橄榄色链霉菌,
葡糖异构酶（木糖异构酶）,Glucose isomerase (xylose isomerase),橄榄产色链霉菌,
葡糖氧化酶,Glucose oxidase,米曲霉,黑曲霉,
葡糖氧化酶,Glucose oxidase,黑曲霉,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,雪白根霉,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,米曲霉,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,米根霉,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,黑曲霉,埃默森篮状菌,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,黑曲霉,黑曲霉,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,黑曲霉,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,戴尔根霉,
凝乳酶或粗制凝乳酶,Chymosin or Rennet,小牛、山羊或羔羊的皱胃,
凝乳酶B,Chymosin B,乳克鲁维酵母,小牛前凝乳酶B基因,
凝乳酶B,Chymosin B,黑曲霉泡盛变种,小牛前凝乳酶B基因,
凝乳酶A,Chymosin A,大肠杆菌 K-12,小牛前凝乳酶A基因,
木聚糖酶,Xylanase,米曲霉,黑曲霉c,c包括针尾曲霉和泡盛曲霉。,
木聚糖酶,Xylanase,米曲霉,棉状嗜热丝孢菌,
木聚糖酶,Xylanase,枯草芽孢杆菌,枯草芽孢杆菌,
木聚糖酶,Xylanase,绿色木霉,
木聚糖酶,Xylanase,李氏木霉,
木聚糖酶,Xylanase,黑曲霉,黑曲霉,
木聚糖酶,Xylanase,黑曲霉,
木聚糖酶,Xylanase,孤独腐质霉,
木聚糖酶,Xylanase,毕赤氏酵母,
木聚糖酶,Xylanase,Fusarium venenatum,棉状嗜热丝孢菌,
木瓜蛋白酶,Papain,木瓜,
麦芽糖淀粉酶,Maltogenic amylase,枯草芽孢杆菌,嗜热脂解芽孢杆菌,
磷脂酶C,Phospholipase C,巴斯德毕赤酵母,某一土壤样品中所衍生的磷脂酶C基因,2023年5月10日由国家卫生健康委员会关于“三新食品”目录及适用的食品安全标准的公告修订。,
麦芽碳水化合物水解酶（α-，β-麦芽碳水化合物水解酶）,Malt carbohydrases (alpha-and beta-amylase),麦芽和大麦,
磷脂酶A2,Phospholipase A2,猪胰腺组织,
磷脂酶A2,Phospholipase A2,黑曲霉,猪胰腺组织,
菊糖酶,Inulinase,黑曲霉,
磷脂酶,Phospholipase,胰腺,
己糖氧化酶,Hexose oxidase,（多形）汉逊酵母,皱波角叉菜,
核酸酶,Nuclease,橘青霉,
环糊精葡萄糖苷转移酶,Cyclomaltodextin glucanotransferase,地衣芽孢杆菌,高温厌氧杆菌,
过氧化氢酶,Catalase,牛、猪或马的肝脏,
过氧化氢酶,Catalase,溶壁微球菌,
过氧化氢酶,Catalase,黑曲霉,
果胶酯酶（果胶甲基酯酶）,Pectinesterase (Pectin methylesterase),米曲霉,针尾曲霉,
果胶酯酶（果胶甲基酯酶）,Pectinesterase (Pectin methylesterase),黑曲霉,
果胶酯酶（果胶甲基酯酶）,Pectinesterase (Pectin methylesterase),黑曲霉,黑曲霉,
果胶酶,Pectinase,黑曲霉,
果胶酶,Pectinase,米根霉,
果胶裂解酶,Pectinlyase,黑曲霉,黑曲霉,
谷氨酰胺转氨酶,Glutamine Transaminase,茂原链轮丝菌（又名茂源链霉菌）,
果胶裂解酶,Pectinlyase,黑曲霉,
谷氨酰胺酶,Glutaminase,解淀粉芽孢杆菌,
多聚半乳糖醛酸酶,Polygalacturonase,米根霉,
甘油磷脂胆固醇酰基转移酶,Glycerophospholipid Cholesterol,地衣芽孢杆菌,杀鲑气单胞菌杀鲑亚种,
多聚半乳糖醛酸酶,Polygalacturonase,黑曲霉c,c包括针尾曲霉和泡盛曲霉。,
单宁酶,Tannase,米曲霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),蜂蜜曲霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),嗜热脂解芽孢杆菌,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),微小毛霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),乳克鲁维酵母,小牛胃,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),米黑根毛霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),米曲霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),枯草芽孢杆菌,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),寄生内座壳（栗疫菌）,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),解淀粉芽孢杆菌,解淀粉芽孢杆菌,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),解淀粉芽孢杆菌,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),黑曲霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),黑曲霉,黑曲霉,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),地衣芽孢杆菌,
菠萝蛋白酶,Bromelain,菠萝,
蛋白酶（包括乳凝块酶）,Protease (including milk clotting enzymes),寄生内座壳（栗疫菌）,寄生内座壳（栗疫菌）,
氨基肽酶,Aminopeptidase,米曲霉,
半纤维素酶,Hemicellulase,黑曲霉,
β-葡聚糖酶,beta-glucanase,绿色木霉,
阿拉伯呋喃糖苷酶,Arabinofuranosidease,黑曲霉,
β-葡聚糖酶,beta-glucanase,Disporotrichum dimorphosporum,
β-葡聚糖酶,beta-glucanase,埃默森篮状菌,
β-葡聚糖酶,beta-glucanase,解淀粉芽孢杆菌,解淀粉芽孢杆菌,
β-葡聚糖酶,beta-glucanase,枯草芽孢杆菌,
β-葡聚糖酶,beta-glucanase,李氏木霉,
β-葡聚糖酶,beta-glucanase,黑曲霉c,c包括针尾曲霉和泡盛曲霉。,
β-葡聚糖酶,beta-glucanase,孤独腐质霉,
β-葡聚糖酶,beta-glucanase,哈次木霉,
β-淀粉酶,beta-amylase,枯草芽孢杆菌,
β-葡聚糖酶,beta-glucanase,地衣芽孢杆菌,
β-淀粉酶,beta-amylase,大麦、山芋、大豆、小麦和麦芽,
α-淀粉酶,Alpha-amylase,猪或牛的胰腺,
α-乙酰乳酸脱羧酶,Alpha-acetolactate decarboxylase,枯草芽孢杆菌,短小芽孢杆菌,
α-淀粉酶,Alpha-amylase,米曲霉,
α-淀粉酶,Alpha-amylase,嗜热脂解芽孢杆菌,
α-淀粉酶,Alpha-amylase,枯草芽孢杆菌,嗜热脂解芽孢杆菌,
α-淀粉酶,Alpha-amylase,米根霉,
α-淀粉酶,Alpha-amylase,枯草芽孢杆菌,
α-淀粉酶,Alpha-amylase,黑曲霉,
α-淀粉酶,Alpha-amylase,解淀粉芽孢杆菌,
α-淀粉酶,Alpha-amylase,地衣芽孢杆菌,地衣芽孢杆菌,
α-淀粉酶,Alpha-amylase,地衣芽孢杆菌,嗜热脂解芽孢杆菌,
α-半乳糖苷酶,Alpha-galactosidase,黑曲霉,
α-淀粉酶,Alpha-amylase,地衣芽孢杆菌,
磷脂酶C,Phospholipase C,地衣芽孢杆菌,苏云金芽孢杆菌,2021年7月26日由国家卫生健康委员会关于4-α-糖基转移酶等28种“三新食品”的公告（2021年第6号）增补。
木聚糖酶,Xylanase,李氏木霉,柔曲高温多孢菌,2021年7月26日由国家卫生健康委员会关于4-α-糖基转移酶等28种“三新食品”的公告（2021年第6号）增补。
葡糖淀粉酶,Glucoamylase,黑曲霉,密粘褶菌,2021年7月26日由国家卫生健康委员会关于4-α-糖基转移酶等28种“三新食品”的公告（2021年第6号）增补。
脂肪酶,Lipase,李氏木霉,尖孢镰刀菌,2021年7月26日由国家卫生健康委员会关于4-α-糖基转移酶等28种“三新食品”的公告（2021年第6号）增补。
蛋白酶,Protease,热解蛋白无氧芽孢杆菌,-,2021年10月22日由国家卫生健康委员会关于食叶草等15种“三新食品”的公告（2021年第9号）增补。
谷氨酰胺酶,Glutaminase,地衣芽孢杆菌,地衣芽孢杆菌,2021年10月22日由国家卫生健康委员会关于食叶草等15种“三新食品”的公告（2021年第9号）增补。
木聚糖酶,Xylanase,李氏木霉,黑曲霉塔宾变种,2021年10月22日由国家卫生健康委员会关于食叶草等15种“三新食品”的公告（2021年第9号）增补。
磷脂酶A1,Phospholipase A1,米曲霉,红聚颈腔菌,2022年3月1日由国家卫生健康委关于关山樱花等32种“三新食品”的公告（2022年第1号）增补。
麦芽糖淀粉酶,Maltogenic amylase,地衣芽孢杆菌,嗜热脂解地芽孢杆菌,2022年3月1日由国家卫生健康委关于关山樱花等32种“三新食品”的公告（2022年第1号）增补。
葡糖氧化酶,Glucose oxidase,李氏木霉,尼崎青霉菌,2022年3月1日由国家卫生健康委关于关山樱花等32种“三新食品”的公告（2022年第1号）增补。
脂肪酶,Lipase,李氏木霉,黑曲霉塔宾变种,2022年3月1日由国家卫生健康委关于关山樱花等32种“三新食品”的公告（2022年第1号）增补。
β-果糖基转移酶,β-fructofuranosidase,Aspergillus fijiensis,-,2022年05月11日由关于莱茵衣藻等36种“三新食品”的公告（2022年第2号）增补,
β-葡聚糖酶,β-glucan enzyme,枯草芽孢杆菌,枯草芽孢杆菌,2022年05月11日由关于莱茵衣藻等36种“三新食品”的公告（2022年第2号）增补,
蛋白酶,Protease,枯草芽孢杆菌,克劳氏碱性卤杆菌,2022年05月11日由关于莱茵衣藻等36种“三新食品”的公告（2022年第2号）增补,
海藻糖酶,Trehalase,李氏木霉,李氏木霉,2022年05月11日由关于莱茵衣藻等36种“三新食品”的公告（2022年第2号）增补,
磷脂酶A1,Phospholipase A1,黑曲霉,Talaromyces leycettanus,2022年05月11日由关于莱茵衣藻等36种“三新食品”的公告（2022年第2号）增补,
葡糖氧化酶,Glucose oxidase,黑曲霉,产黄青霉,2022年05月11日由关于莱茵衣藻等36种“三新食品”的公告（2022年第2号）增补,
乳糖酶,Lactase,枯草芽孢杆菌,德氏乳杆菌保加利亚亚种,2022年05月11日由关于莱茵衣藻等36种“三新食品”的公告（2022年第2号）增补,
植酸酶,phytase,黑曲霉,塔宾曲霉,2022年05月11日由关于莱茵衣藻等36种“三新食品”的公告（2022年第2号）增补,
乳糖酶,Lactase,黑曲霉,米曲霉,2022年9月7日由关于乳糖酶等7种“三新食品”的公告（2022年第5号）增补,
氨基肽酶,Aminopeptidase,米曲霉,米曲霉,2023年3月2日由关于假肠膜明串珠菌等28种“三新食品”的公告（2023年第1号）增补,
蛋白酶,Protease,李氏木霉,樟绒枝霉,2023年3月2日由关于假肠膜明串珠菌等28种“三新食品”的公告（2023年第1号）增补,
磷脂酶A2,Phospholipase A2,李氏木霉,烟曲霉,2023年3月2日由关于假肠膜明串珠菌等28种“三新食品”的公告（2023年第1号）增补,
麦芽糖淀粉酶,Maltogenic amylase,酿酒酵母,嗜热脂解地芽孢杆菌,2023年3月2日由关于假肠膜明串珠菌等28种“三新食品”的公告（2023年第1号）增补,
木聚糖酶,Xylanase,地衣芽孢杆菌,地衣芽孢杆菌,2023年3月2日由关于假肠膜明串珠菌等28种“三新食品”的公告（2023年第1号）增补,
乳糖酶（β-半乳糖苷酶）,Lactase (beta-galactosidase),Papiliotrema terrestris,-,2023年3月2日由关于假肠膜明串珠菌等28种“三新食品”的公告（2023年第1号）增补,
羧肽酶,Carboxypeptidase,米曲霉,米曲霉,2023年3月2日由关于假肠膜明串珠菌等28种“三新食品”的公告（2023年第1号）增补,
脱氨酶,Deaminase,米曲霉,-,2023年3月2日由关于假肠膜明串珠菌等28种“三新食品”的公告（2023年第1号）增补,
D-阿洛酮糖-3-差向异构酶,D-psicose 3-epimerase,枯草芽孢杆菌,瘤胃球菌CAG55,2023年5月6日由关于蓝莓花色苷等14种“三新食品”的公告（2023年第3号）增补,
β-淀粉酶,beta-amylase,弯曲芽孢杆菌,-,2023年8月1日由国家卫生健康委关于文冠果种仁等8种“三新食品”的公告（2023年第5号）增补。
溶血磷脂酶（磷脂酶B）,Lysophospholipase (lecithinase B),李氏木霉,Aspergillus nishimurae,2023年8月1日由国家卫生健康委关于文冠果种仁等8种“三新食品”的公告（2023年第5号）增补。
丝氨酸蛋白酶,Serine protease,地衣芽孢杆菌,葱绿拟诺卡氏菌,2023年10月7日由关于桃胶等15种“三新食品”的公告（2023年第8号）增补
